ADMIN ID 1,Inventory numbers,Photo #,DD-MMM-YYYY,Author,"FABRIC LEVIGATION: count and weigh by group, list number of handles, bases, rims, and body shards under #. Coarse#",Coarse_g,CoarseNotes,Med#,Med_g,MedNotes,Fine#,Fine_g,FineNotes,CHRONOLOGY - indicate presence/absence with Y/N NL,EH,MH,Mycenaean,EIA,Geometric,Archaic,Classical,Hellenistic,Arch_Class,Arch_Class_Hell,Roman,Medieval,EarlyMod,MATERIAL: number Tile,Lithics,WorkedStone,Metal,Bone,Shell,Notes
10041,,067; 068; 069; 070,Mon Jan 27 00:00:00 CET 2020,"RK, JB",1 base,95,cookware,,,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
10044,,,Mon Jan 27 00:00:00 CET 2020,"NS, SR", 2 rims,84,,,,,,,,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,,,,,,,
10047,,032; 033,Mon Jan 27 00:00:00 CET 2020,"NS, SR",,,,1 handle,88,,1 handle,2,Likely BG,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
10048,,,Mon Jan 27 00:00:00 CET 2020,"RK, JB",1 rim,23,,1 rim,42,Groove,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
10049,,056; 057; 058,Mon Jan 27 00:00:00 CET 2020,"RK, JB",1 rim,43,,,,,1 base,8,"Votive Kotyle, BG *",N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,,,,,,
10052,,,Mon Jan 27 00:00:00 CET 2020,"NS, SR","1 base, 2 handles, 1 rim",812,Base has ridge ,,,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
10055,,,Mon Jan 27 00:00:00 CET 2020,"NS, SR",4 rims,250,Rim with groove,1 body sherd,2,,,,,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,,,,,,,
10056,,,Mon Jan 27 00:00:00 CET 2020,"RK, JB",,,,1 handle,74,,1 handle,10,BG,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
10057,10057_1 Base with rays and checkerboard,,Mon Jan 27 00:00:00 CET 2020,"RK, JB","2 rims, 2 body sherds, 1 other",309,Body sherd is cookware; other is possible foot *,"2 handles, 2 rims, 2 body sherds",99,1 rim with exterior groove; body sherd has incised lines,"2 bases, 1 body sherd",5,"BG, rays, added red, checkerboard; base *",N,N,N,N,N,N,Y,N,N,N,N,N,N,N,,,,,,,
10058,,,Mon Jan 27 00:00:00 CET 2020,"RK, JB",1 handle,56,,,,,"1 base, 1 handle, 1 body sherd",18,Full base; Body sherd is BG *,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
10059,,,Mon Jan 27 00:00:00 CET 2020,"RK, JB",,,,,,,1 body sherd,2,BG,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
10060,,,Mon Jan 27 00:00:00 CET 2020,"RK, JB","1 handle, 1 body sherd",302,Grooved decoration on body sherd,"1 base, 1 handle",27,Cup handle shape ACH but different fabric,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
